ошибка получения данных о процессе Idle: Отказано в доступе.
ID: 14556, имя: unsecapp, приоритет: 8, состояние: True, запуск: 30.12.2024 11:12:57, время CPU: 00:00:00.1406250
ID: 18604, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:12:57, время CPU: 00:00:04.8281250
ID: 17552, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:12:58, время CPU: 00:00:00.2812500
ID: 18696, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:12:58, время CPU: 00:00:00.7812500
ID: 6796, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 11:12:59, время CPU: 00:00:00.5000000
ID: 9760, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 16:28:46, время CPU: 00:00:00.0156250
ID: 4108, имя: svchost, приоритет: 8, состояние: True, запуск: 30.12.2024 16:28:46, время CPU: 00:00:00.7031250
ID: 268, имя: svchost, приоритет: 8, состояние: True, запуск: 31.12.2024 16:20:24, время CPU: 00:00:00.6875000
ID: 13816, имя: svchost, приоритет: 8, состояние: True, запуск: 31.12.2024 16:21:15, время CPU: 00:00:00.0312500
ID: 2232, имя: svchost, приоритет: 8, состояние: True, запуск: 31.12.2024 16:24:20, время CPU: 00:00:00.0625000
ID: 4164, имя: svchost, приоритет: 8, состояние: True, запуск: 31.12.2024 17:24:30, время CPU: 00:00:04.1718750
ID: 17856, имя: csrss, приоритет: 13, состояние: True, запуск: 31.12.2024 17:53:46, время CPU: 00:00:17.8906250
ID: 18668, имя: winlogon, приоритет: 13, состояние: True, запуск: 31.12.2024 17:53:46, время CPU: 00:00:00.0781250
ID: 8264, имя: fontdrvhost, приоритет: 8, состояние: True, запуск: 31.12.2024 17:53:46, время CPU: 00:00:05.5000000
ID: 7820, имя: dwm, приоритет: 13, состояние: True, запуск: 31.12.2024 17:53:46, время CPU: 00:20:00.1406250
ID: 5920, имя: AsusOptimizationStartupTask, приоритет: 8, состояние: True, запуск: 01.01.2025 3:21:24, время CPU: 00:00:00.1562500
ID: 10076, имя: DAX3API, приоритет: 8, состояние: True, запуск: 01.01.2025 3:21:24, время CPU: 00:00:00.0468750
ID: 8984, имя: ipf_helper, приоритет: 8, состояние: True, запуск: 01.01.2025 3:21:24, время CPU: 00:01:52.4687500
ID: 19424, имя: unchecky_bg, приоритет: 8, состояние: True, запуск: 01.01.2025 3:21:24, время CPU: 00:00:00.2656250
ID: 8148, имя: sihost, приоритет: 8, состояние: True, запуск: 01.01.2025 3:21:25, время CPU: 00:00:07.8281250
ID: 11432, имя: svchost, приоритет: 8, состояние: True, запуск: 01.01.2025 3:21:25, время CPU: 00:00:01.9531250
ID: 8944, имя: svchost, приоритет: 8, состояние: True, запуск: 01.01.2025 3:21:25, время CPU: 00:00:00.0312500
ID: 15848, имя: svchost, приоритет: 8, состояние: True, запуск: 01.01.2025 3:21:25, время CPU: 00:00:03.6406250
ID: 2512, имя: taskhostw, приоритет: 8, состояние: True, запуск: 01.01.2025 3:21:25, время CPU: 00:00:01.8906250
ID: 12348, имя: explorer, приоритет: 8, состояние: True, запуск: 01.01.2025 3:21:25, время CPU: 00:01:26.2187500
ID: 5772, имя: svchost, приоритет: 8, состояние: True, запуск: 01.01.2025 3:21:26, время CPU: 00:00:00.7968750
ID: 3724, имя: AsusInputlocaleMonitor, приоритет: 8, состояние: True, запуск: 01.01.2025 3:21:26, время CPU: 00:00:00.5156250
ID: 18160, имя: SearchHost, приоритет: 8, состояние: True, запуск: 01.01.2025 3:21:26, время CPU: 00:00:04.7343750
ID: 19388, имя: StartMenuExperienceHost, приоритет: 8, состояние: True, запуск: 01.01.2025 3:21:26, время CPU: 00:00:02.2343750
ID: 16092, имя: Widgets, приоритет: 8, состояние: True, запуск: 01.01.2025 3:21:27, время CPU: 00:00:02.0625000
ID: 15212, имя: RuntimeBroker, приоритет: 8, состояние: True, запуск: 01.01.2025 3:21:27, время CPU: 00:00:01.0156250
ID: 3272, имя: RuntimeBroker, приоритет: 8, состояние: True, запуск: 01.01.2025 3:21:27, время CPU: 00:00:03.1093750
ID: 4596, имя: WidgetService, приоритет: 8, состояние: True, запуск: 01.01.2025 3:21:27, время CPU: 00:00:00.4375000
ID: 4572, имя: svchost, приоритет: 8, состояние: True, запуск: 01.01.2025 3:21:27, время CPU: 00:00:00.0312500
ID: 16328, имя: dllhost, приоритет: 8, состояние: True, запуск: 01.01.2025 3:21:28, время CPU: 00:00:00.0312500
ID: 17564, имя: ctfmon, приоритет: 13, состояние: True, запуск: 01.01.2025 3:21:29, время CPU: 00:00:16.6250000
ID: 16896, имя: SecurityHealthSystray, приоритет: 8, состояние: True, запуск: 01.01.2025 3:21:31, время CPU: 00:00:00.0312500
ID: 19400, имя: DesktopPlus64, приоритет: 8, состояние: True, запуск: 01.01.2025 3:21:31, время CPU: 00:00:06.8593750
ID: 15332, имя: Skype, приоритет: 8, состояние: True, запуск: 01.01.2025 3:21:33, время CPU: 00:01:51.3281250
ID: 10468, имя: TextInputHost, приоритет: 13, состояние: True, запуск: 01.01.2025 3:21:36, время CPU: 00:00:07.1562500
ID: 4716, имя: RtkAudUService64, приоритет: 6, состояние: True, запуск: 01.01.2025 3:21:55, время CPU: 00:00:02
ID: 8728, имя: Poe, приоритет: 8, состояние: True, запуск: 01.01.2025 3:22:12, время CPU: 00:00:23.5625000
ID: 9980, имя: Poe, приоритет: 10, состояние: True, запуск: 01.01.2025 3:22:13, время CPU: 00:00:07.0312500
ID: 6640, имя: Poe, приоритет: 8, состояние: True, запуск: 01.01.2025 3:22:13, время CPU: 00:00:01.5937500
ID: 13124, имя: ms-teams, приоритет: 8, состояние: True, запуск: 01.01.2025 3:22:14, время CPU: 00:00:04.3437500
ID: 5984, имя: RuntimeBroker, приоритет: 8, состояние: True, запуск: 01.01.2025 3:22:14, время CPU: 00:00:00.0625000
ID: 11704, имя: msedgewebview2, приоритет: 8, состояние: True, запуск: 01.01.2025 3:22:14, время CPU: 00:00:04.9843750
ID: 17484, имя: msedgewebview2, приоритет: 8, состояние: True, запуск: 01.01.2025 3:22:14, время CPU: 00:00:00.0625000
ID: 17060, имя: msedgewebview2, приоритет: 10, состояние: True, запуск: 01.01.2025 3:22:15, время CPU: 00:00:00.1718750
ID: 4444, имя: msedgewebview2, приоритет: 8, состояние: True, запуск: 01.01.2025 3:22:15, время CPU: 00:00:02
ID: 19312, имя: msedgewebview2, приоритет: 8, состояние: True, запуск: 01.01.2025 3:22:15, время CPU: 00:00:00.1406250
ID: 19344, имя: msedgewebview2, приоритет: 8, состояние: True, запуск: 01.01.2025 3:22:15, время CPU: 00:00:05.4062500
ID: 16924, имя: Poe, приоритет: 4, состояние: True, запуск: 01.01.2025 3:22:17, время CPU: 00:00:06.5312500
ID: 13852, имя: Poe, приоритет: 4, состояние: True, запуск: 01.01.2025 3:22:17, время CPU: 00:00:03.9687500
ID: 14268, имя: Poe, приоритет: 4, состояние: True, запуск: 01.01.2025 3:22:18, время CPU: 00:00:00.0781250
ID: 13060, имя: CrossDeviceService, приоритет: 8, состояние: True, запуск: 01.01.2025 3:22:18, время CPU: 00:00:17.8750000
ID: 4760, имя: AsusSoftwareManagerAgent, приоритет: 8, состояние: True, запуск: 01.01.2025 3:22:18, время CPU: 00:00:00.9531250
ID: 16908, имя: RuntimeBroker, приоритет: 8, состояние: True, запуск: 01.01.2025 3:22:19, время CPU: 00:00:00
ID: 11488, имя: rundll32, приоритет: 8, состояние: True, запуск: 01.01.2025 3:22:20, время CPU: 00:01:21.7968750
ID: 5064, имя: QHSafeTray, приоритет: 8, состояние: True, запуск: 01.01.2025 3:22:20, время CPU: 00:01:57.0937500
ID: 10712, имя: hpwuschd2, приоритет: 8, состояние: True, запуск: 01.01.2025 3:22:32, время CPU: 00:00:00.0312500
ID: 3172, имя: svchost, приоритет: 8, состояние: True, запуск: 01.01.2025 3:23:25, время CPU: 00:00:00.3281250
ID: 18836, имя: ShellExperienceHost, приоритет: 8, состояние: True, запуск: 01.01.2025 3:26:28, время CPU: 00:00:00.1718750
ID: 12300, имя: RuntimeBroker, приоритет: 8, состояние: True, запуск: 01.01.2025 3:26:28, время CPU: 00:00:00.0312500
ID: 18312, имя: svchost, приоритет: 8, состояние: True, запуск: 01.01.2025 3:26:29, время CPU: 00:00:00.1718750
ID: 18096, имя: Acrobat, приоритет: 8, состояние: True, запуск: 02.01.2025 14:02:13, время CPU: 00:00:03.7187500
ID: 13796, имя: Acrobat, приоритет: 8, состояние: True, запуск: 02.01.2025 14:02:13, время CPU: 00:00:26.1718750
ID: 10144, имя: AcroCEF, приоритет: 8, состояние: True, запуск: 02.01.2025 14:02:14, время CPU: 00:00:04.8281250
ID: 2112, имя: AcroCEF, приоритет: 8, состояние: True, запуск: 02.01.2025 14:02:15, время CPU: 00:00:00.0781250
ID: 14316, имя: AcroCEF, приоритет: 8, состояние: True, запуск: 02.01.2025 14:02:15, время CPU: 00:00:00.8750000
ID: 5044, имя: AcroCEF, приоритет: 8, состояние: True, запуск: 02.01.2025 14:02:15, время CPU: 00:00:01.2656250
ID: 13828, имя: AcroCEF, приоритет: 8, состояние: True, запуск: 02.01.2025 14:02:15, время CPU: 00:00:00.2500000
ID: 14376, имя: AcroCEF, приоритет: 8, состояние: True, запуск: 02.01.2025 14:02:15, время CPU: 00:00:00.4531250
ID: 11004, имя: AcroCEF, приоритет: 8, состояние: True, запуск: 02.01.2025 14:02:15, время CPU: 00:00:00.2812500
ID: 5316, имя: AcroCEF, приоритет: 10, состояние: True, запуск: 02.01.2025 14:02:15, время CPU: 00:00:00.1718750
ID: 10388, имя: AcroCEF, приоритет: 8, состояние: True, запуск: 02.01.2025 14:02:17, время CPU: 00:00:00.9062500
ID: 6944, имя: AdobeCollabSync, приоритет: 8, состояние: True, запуск: 02.01.2025 14:02:19, время CPU: 00:00:00.2343750
ID: 15220, имя: AdobeCollabSync, приоритет: 8, состояние: True, запуск: 02.01.2025 14:02:19, время CPU: 00:00:00.1562500
ID: 17116, имя: Telegram, приоритет: 8, состояние: True, запуск: 02.01.2025 14:03:27, время CPU: 00:00:41.6250000
ID: 20452, имя: chrome, приоритет: 8, состояние: True, запуск: 02.01.2025 14:03:55, время CPU: 00:02:45.9687500
ID: 15912, имя: chrome, приоритет: 8, состояние: True, запуск: 02.01.2025 14:03:55, время CPU: 00:00:00.0156250
ID: 2576, имя: chrome, приоритет: 10, состояние: True, запуск: 02.01.2025 14:03:56, время CPU: 00:01:03.9843750
ID: 2756, имя: chrome, приоритет: 8, состояние: True, запуск: 02.01.2025 14:03:56, время CPU: 00:00:18.9843750
ID: 14788, имя: chrome, приоритет: 8, состояние: True, запуск: 02.01.2025 14:03:56, время CPU: 00:00:00.4375000
ID: 19700, имя: chrome, приоритет: 4, состояние: True, запуск: 02.01.2025 14:03:56, время CPU: 00:00:00.5625000
ID: 16664, имя: chrome, приоритет: 4, состояние: True, запуск: 02.01.2025 14:03:56, время CPU: 00:00:05.1875000
ID: 8652, имя: chrome, приоритет: 4, состояние: True, запуск: 02.01.2025 14:04:35, время CPU: 00:00:00.8906250
ID: 16428, имя: chrome, приоритет: 4, состояние: True, запуск: 02.01.2025 14:04:35, время CPU: 00:00:03.8281250
ID: 3716, имя: ApplicationFrameHost, приоритет: 8, состояние: True, запуск: 02.01.2025 14:07:46, время CPU: 00:00:00.0468750
ID: 16348, имя: POWERPNT, приоритет: 8, состояние: True, запуск: 02.01.2025 14:10:31, время CPU: 00:01:10.2187500
ID: 2840, имя: AiStubX64, приоритет: 8, состояние: True, запуск: 02.01.2025 14:15:00, время CPU: 00:00:00
ID: 18344, имя: PlanetVPN, приоритет: 8, состояние: True, запуск: 02.01.2025 14:15:00, время CPU: 00:30:39.0625000
ID: 3896, имя: dllhost, приоритет: 8, состояние: True, запуск: 02.01.2025 14:15:07, время CPU: 00:00:00.0156250
ID: 14820, имя: chrome, приоритет: 4, состояние: True, запуск: 02.01.2025 14:19:35, время CPU: 00:05:37
ID: 24556, имя: MoNotificationUx, приоритет: 8, состояние: True, запуск: 02.01.2025 14:19:44, время CPU: 00:00:00.0468750
ID: 17600, имя: svchost, приоритет: 8, состояние: True, запуск: 02.01.2025 15:07:51, время CPU: 00:00:00.1718750
ID: 26168, имя: WINWORD, приоритет: 8, состояние: True, запуск: 02.01.2025 15:34:13, время CPU: 00:00:40.4375000
ID: 27920, имя: UserOOBEBroker, приоритет: 8, состояние: True, запуск: 02.01.2025 15:44:10, время CPU: 00:00:00
ID: 24532, имя: chrome, приоритет: 4, состояние: True, запуск: 02.01.2025 16:17:20, время CPU: 00:00:59.0468750
ID: 808, имя: chrome, приоритет: 4, состояние: True, запуск: 02.01.2025 16:17:22, время CPU: 00:00:02.4375000
ID: 22072, имя: dllhost, приоритет: 8, состояние: True, запуск: 02.01.2025 16:37:35, время CPU: 00:00:00.0156250
ID: 1072, имя: taskhostw, приоритет: 8, состояние: True, запуск: 02.01.2025 18:14:25, время CPU: 00:00:00.3593750
ID: 33352, имя: svchost, приоритет: 8, состояние: True, запуск: 02.01.2025 19:35:01, время CPU: 00:00:00.0312500
ID: 10876, имя: SkypeBrowserHost, приоритет: 8, состояние: True, запуск: 02.01.2025 19:35:02, время CPU: 00:00:01.4062500
ID: 34136, имя: openvpn, приоритет: 8, состояние: True, запуск: 02.01.2025 19:35:21, время CPU: 00:00:03.4843750
ID: 33916, имя: conhost, приоритет: 8, состояние: True, запуск: 02.01.2025 19:35:21, время CPU: 00:00:00
ID: 29468, имя: backgroundTaskHost, приоритет: 8, состояние: True, запуск: 02.01.2025 19:36:43, время CPU: 00:00:00.0468750
ID: 6476, имя: AsusSystemAnalysis, приоритет: 8, состояние: True, запуск: 02.01.2025 19:37:00, время CPU: 00:00:00
ID: 32060, имя: chrome, приоритет: 4, состояние: True, запуск: 02.01.2025 19:37:34, время CPU: 00:00:15.6562500
