Процесс 0 (Idle) вызвал ошибку: Отказано в доступе.
ID: 14984, Имя: WmiPrvSE, Приоритет: 8, Время начала: 15.01.2025 19:36:35, Сколько времени использовался: 00:00:02
ID: 18004, Имя: svchost, Приоритет: 8, Время начала: 16.01.2025 0:37:26, Сколько времени использовался: 00:00:25.2656250
ID: 8084, Имя: svchost, Приоритет: 8, Время начала: 16.01.2025 18:57:39, Сколько времени использовался: 00:00:01.2500000
ID: 14140, Имя: csrss, Приоритет: 13, Время начала: 17.01.2025 2:10:17, Сколько времени использовался: 00:00:04.4062500
ID: 1840, Имя: winlogon, Приоритет: 13, Время начала: 17.01.2025 2:10:17, Сколько времени использовался: 00:00:00.0312500
ID: 14616, Имя: fontdrvhost, Приоритет: 8, Время начала: 17.01.2025 2:10:17, Сколько времени использовался: 00:00:01.6093750
ID: 17396, Имя: dwm, Приоритет: 13, Время начала: 17.01.2025 2:10:17, Сколько времени использовался: 00:00:50.1875000
ID: 42872, Имя: AsusOptimizationStartupTask, Приоритет: 8, Время начала: 17.01.2025 7:00:10, Сколько времени использовался: 00:00:00.0312500
ID: 22000, Имя: ipf_helper, Приоритет: 8, Время начала: 17.01.2025 7:00:10, Сколько времени использовался: 00:00:22.5000000
ID: 43812, Имя: DAX3API, Приоритет: 8, Время начала: 17.01.2025 7:00:11, Сколько времени использовался: 00:00:00.0156250
ID: 11500, Имя: unchecky_bg, Приоритет: 8, Время начала: 17.01.2025 7:00:11, Сколько времени использовался: 00:00:00.1093750
ID: 39860, Имя: sihost, Приоритет: 8, Время начала: 17.01.2025 7:00:11, Сколько времени использовался: 00:00:02.0468750
ID: 17628, Имя: svchost, Приоритет: 8, Время начала: 17.01.2025 7:00:11, Сколько времени использовался: 00:00:00.8593750
ID: 44188, Имя: svchost, Приоритет: 8, Время начала: 17.01.2025 7:00:11, Сколько времени использовался: 00:00:00.0156250
ID: 42576, Имя: svchost, Приоритет: 8, Время начала: 17.01.2025 7:00:11, Сколько времени использовался: 00:00:00.8593750
ID: 44676, Имя: taskhostw, Приоритет: 8, Время начала: 17.01.2025 7:00:11, Сколько времени использовался: 00:00:00.3437500
ID: 29888, Имя: explorer, Приоритет: 8, Время начала: 17.01.2025 7:00:11, Сколько времени использовался: 00:00:11.9218750
ID: 7924, Имя: svchost, Приоритет: 8, Время начала: 17.01.2025 7:00:11, Сколько времени использовался: 00:00:00
ID: 33956, Имя: AsusInputlocaleMonitor, Приоритет: 8, Время начала: 17.01.2025 7:00:12, Сколько времени использовался: 00:00:00.1093750
ID: 19028, Имя: svchost, Приоритет: 8, Время начала: 17.01.2025 7:00:12, Сколько времени использовался: 00:00:00.0937500
ID: 41204, Имя: SearchHost, Приоритет: 8, Время начала: 17.01.2025 7:00:12, Сколько времени использовался: 00:00:03.5937500
ID: 34516, Имя: StartMenuExperienceHost, Приоритет: 8, Время начала: 17.01.2025 7:00:12, Сколько времени использовался: 00:00:01.3125000
ID: 38424, Имя: Widgets, Приоритет: 8, Время начала: 17.01.2025 7:00:13, Сколько времени использовался: 00:00:00.8437500
ID: 36756, Имя: RuntimeBroker, Приоритет: 8, Время начала: 17.01.2025 7:00:13, Сколько времени использовался: 00:00:00.2343750
ID: 39812, Имя: RuntimeBroker, Приоритет: 8, Время начала: 17.01.2025 7:00:13, Сколько времени использовался: 00:00:00.5781250
ID: 39504, Имя: WidgetService, Приоритет: 8, Время начала: 17.01.2025 7:00:13, Сколько времени использовался: 00:00:00.0625000
ID: 34408, Имя: svchost, Приоритет: 8, Время начала: 17.01.2025 7:00:13, Сколько времени использовался: 00:00:00
ID: 16464, Имя: dllhost, Приоритет: 8, Время начала: 17.01.2025 7:00:14, Сколько времени использовался: 00:00:00.0156250
ID: 14512, Имя: ctfmon, Приоритет: 13, Время начала: 17.01.2025 7:00:15, Сколько времени использовался: 00:00:00.9062500
ID: 35476, Имя: SecurityHealthSystray, Приоритет: 8, Время начала: 17.01.2025 7:00:16, Сколько времени использовался: 00:00:00
ID: 44776, Имя: DesktopPlus64, Приоритет: 8, Время начала: 17.01.2025 7:00:19, Сколько времени использовался: 00:00:01.6718750
ID: 30160, Имя: MoNotificationUx, Приоритет: 8, Время начала: 17.01.2025 7:00:41, Сколько времени использовался: 00:00:00.0312500
ID: 42652, Имя: RtkAudUService64, Приоритет: 6, Время начала: 17.01.2025 7:02:14, Сколько времени использовался: 00:00:00.2812500
